iter	Passed	Remaining
0	0	29
1	0	28
2	0	27
3	1	29
4	1	27
5	1	27
6	2	26
7	2	26
8	2	26
9	2	26
10	3	26
11	3	26
12	3	25
13	4	25
14	4	25
15	4	24
16	4	24
17	5	24
18	5	23
19	5	23
20	6	23
21	6	22
22	6	22
23	6	22
24	7	21
25	7	21
26	7	21
27	8	20
28	8	20
29	8	20
30	8	19
31	9	19
32	9	19
33	9	19
34	10	18
35	10	18
36	10	18
37	10	17
38	11	17
39	11	17
40	11	16
41	11	16
42	12	16
43	12	15
44	12	15
45	13	15
46	13	15
47	13	14
48	13	14
49	14	14
50	14	13
51	14	13
52	14	13
53	15	13
54	15	12
55	15	12
56	16	12
57	16	11
58	16	11
59	16	11
60	17	10
61	17	10
62	17	10
63	17	10
64	18	9
65	18	9
66	18	9
67	19	8
68	19	8
69	19	8
70	19	8
71	20	7
72	20	7
73	20	7
74	20	6
75	21	6
76	21	6
77	21	6
78	22	5
79	22	5
80	22	5
81	23	5
82	23	4
83	23	4
84	23	4
85	24	3
86	24	3
87	24	3
88	25	3
89	25	2
90	25	2
91	25	2
92	26	1
93	26	1
94	26	1
95	27	1
96	27	0
97	27	0
98	27	0
99	28	0
